timestamp,source_ip,dest_ip,protocol,port,bytes,packets,duration,is_attack,attack_type
2024-12-31 21:12:25.929100,192.168.22.239,10.0.67.64,TCP,175,950.0851099286092,63,6.24102971964166,0,
2024-12-31 21:41:44.929326,192.168.127.171,10.0.135.80,TCP,6860,977.3754569728477,71,12.930779354804738,0,
2025-01-01 12:40:35.929414,192.168.18.155,10.0.126.245,TCP,55336,1601.6765216158694,44,2.902672810108917,0,
2025-01-01 06:53:54.929491,192.168.205.198,10.0.123.239,TCP,26523,1663.0073502423081,33,16.92401475244716,0,
2025-01-01 10:24:38.929562,192.168.52.229,10.0.218.18,TCP,59845,1223.4596966703457,29,10.886844061014376,0,
2024-12-31 20:46:10.929635,192.168.48.90,10.0.51.94,TCP,29797,1715.4206175456752,45,64.45804643906438,0,
2024-12-31 22:54:13.929707,192.168.215.73,10.0.2.126,TCP,62501,2010.37370631328,46,22.996336515096854,0,
2024-12-31 23:40:48.929777,192.168.124.148,10.0.196.161,TCP,35399,1139.3347334380142,42,93.63514108346634,0,
2024-12-31 18:47:52.929861,192.168.158.200,10.0.242.2,TCP,34324,1554.8924722661088,11,1.1223933821744678,0,
2024-12-31 23:57:48.929908,192.168.67.16,10.0.162.55,TCP,64732,2389.611377939577,50,19.751967405121185,0,
2025-01-01 03:57:07.929950,192.168.55.223,10.0.78.56,TCP,14783,708.6027568211517,47,23.97931629872884,0,
2025-01-01 04:32:57.929992,192.168.60.203,10.0.69.36,TCP,21191,732.8436991794509,99,8.651161387911102,0,
2025-01-01 06:06:11.930034,192.168.27.124,10.0.4.184,TCP,16590,1976.5965431779214,25,52.873794922578185,0,
2024-12-31 20:11:34.930074,192.168.147.118,10.0.235.196,TCP,39393,1748.0009980380137,25,7.443071331832453,0,
2025-01-01 04:21:45.930116,192.168.114.139,10.0.99.216,UDP,32738,427.2320244279156,86,81.23470743740656,0,
2025-01-01 08:01:14.930158,192.168.228.144,10.0.234.103,ICMP,34868,869.668634362091,96,6.582177821518051,0,
2025-01-01 07:12:01.930200,192.168.6.148,10.0.10.215,UDP,15884,1244.0756980343917,44,7.403541716446574,0,
2025-01-01 12:40:26.930241,192.168.164.28,10.0.174.108,TCP,42330,1521.1359887665997,62,24.799369779727417,0,
2025-01-01 11:46:06.930281,192.168.251.119,10.0.59.102,TCP,10052,1517.2373087794624,7,46.15350722103878,0,
2025-01-01 04:41:05.930322,192.168.236.221,10.0.167.13,TCP,61916,408.5749023395672,43,4.275994835423384,0,
2025-01-01 10:44:45.930364,192.168.57.228,10.0.164.149,TCP,22304,1576.817819764937,73,56.68488677152101,0,
2024-12-31 19:08:05.930404,192.168.75.4,10.0.104.87,TCP,20212,755.6354838667397,49,15.697166705164262,0,
2024-12-31 21:04:30.930445,192.168.82.70,10.0.63.233,TCP,9180,2043.1217825216395,95,4.9811425586624605,0,
2024-12-31 22:17:59.930486,192.168.37.89,10.0.39.73,TCP,58497,2494.134385091706,56,6.736482451149692,0,
2025-01-01 00:47:10.930526,192.168.134.204,10.0.254.204,TCP,1567,2248.54082085042,59,14.367663218056013,0,
2025-01-01 13:22:55.930568,192.168.89.11,10.0.44.139,TCP,5539,2086.245573114724,72,92.57253513374118,0,
2024-12-31 14:47:13.930609,192.168.236.83,10.0.246.202,ICMP,24211,1303.2258783506632,4,6.513443893114778,0,
2025-01-01 03:18:23.930649,192.168.210.247,10.0.17.99,UDP,7672,2591.864297747904,83,2.2448359474414263,0,
2024-12-31 19:07:05.930690,192.168.245.96,10.0.141.254,TCP,63121,1576.5882381353847,11,17.57339885338752,0,
2025-01-01 12:58:31.930733,192.168.90.72,10.0.74.149,TCP,45145,1219.2251509500527,31,3.471572848159395,0,
2025-01-01 04:20:34.930776,192.168.210.113,10.0.9.41,TCP,61526,1677.455954501454,37,72.48209101081083,0,
2025-01-01 01:10:20.930833,192.168.195.102,10.0.147.199,TCP,19431,1619.720091018525,8,32.736225603786465,0,
2025-01-01 03:39:12.930876,192.168.9.213,10.0.209.44,TCP,56582,1903.2925827180807,56,28.90208884775673,0,
2024-12-31 15:49:04.930919,192.168.216.39,10.0.214.203,TCP,18647,1986.2482141752585,75,28.43047249914781,0,
2025-01-01 11:51:43.930961,192.168.85.12,10.0.194.40,UDP,54302,936.0727373354832,94,53.74396362013407,0,
2025-01-01 14:34:22.931003,192.168.119.244,10.0.38.32,TCP,32564,1652.7404119129358,49,31.31392167495725,0,
2025-01-01 08:05:55.931045,192.168.200.146,10.0.96.6,UDP,5018,1324.073444654166,94,58.27518211538123,0,
2025-01-01 00:59:32.931124,192.168.156.66,10.0.34.38,UDP,64078,1827.357561441815,25,4.311468792472022,0,
2025-01-01 05:40:36.931176,192.168.29.250,10.0.142.74,TCP,50314,879.3024785313363,33,12.340096851735517,0,
2025-01-01 01:00:19.931244,192.168.45.167,10.0.56.7,ICMP,20463,1227.530934161487,6,8.940577421456025,0,
2024-12-31 20:55:45.931300,192.168.56.248,10.0.128.42,TCP,63037,2083.2812381230137,37,15.462244471252118,0,
2025-01-01 04:08:04.931346,192.168.189.81,10.0.236.18,TCP,24476,1398.7594223644835,31,128.78210489357363,0,
2025-01-01 03:11:57.931392,192.168.191.44,10.0.42.88,TCP,15731,588.092092308058,40,39.52625719847311,0,
2024-12-31 19:32:14.931438,192.168.150.54,10.0.196.156,UDP,58913,491.65892099021914,35,27.96209049341489,0,
2024-12-31 18:54:57.931484,192.168.230.196,10.0.180.103,TCP,47043,1625.339700593237,25,18.714094370529352,0,
2025-01-01 08:57:11.931530,192.168.91.223,10.0.101.49,UDP,26791,413.64762238296726,28,7.1397321784581065,0,
2024-12-31 22:59:02.931575,192.168.16.20,10.0.141.65,TCP,57928,1347.6539449109664,64,44.86748204695454,0,
2024-12-31 19:53:53.931623,192.168.139.11,10.0.229.36,TCP,45751,759.5270542267896,29,30.239674832600453,0,
2025-01-01 06:20:29.931671,192.168.54.53,10.0.39.216,TCP,32367,895.0511044249511,18,7.0172493491738255,0,
2024-12-31 23:52:23.931717,192.168.14.149,10.0.63.191,UDP,10645,1755.7457324423126,65,3.470566238265873,0,
2024-12-31 21:17:26.931768,192.168.190.42,10.0.182.23,TCP,55564,1133.4169532879596,78,18.266850566539677,0,
2024-12-31 22:18:15.931831,192.168.77.165,10.0.82.135,TCP,32438,2126.264144569423,91,3.41265851967671,0,
2025-01-01 11:03:11.931877,192.168.84.64,10.0.234.86,UDP,50031,243.3327054164822,98,9.194208183141546,0,
2025-01-01 03:29:44.931925,192.168.84.78,10.0.110.169,ICMP,52738,2440.2297352811443,50,45.7275556411715,0,
2024-12-31 17:24:05.931973,192.168.171.195,10.0.126.140,ICMP,39797,1062.7923061302306,12,22.20481904414965,0,
2025-01-01 06:21:23.932019,192.168.176.222,10.0.147.56,TCP,29564,738.8202634399836,72,34.777226841210876,0,
2025-01-01 08:53:32.932066,192.168.170.201,10.0.228.178,TCP,34393,2304.836036435017,46,22.9289437312944,0,
